ssc_508020_0010#0,"""อืม? อ้า สวัสดีครับ"""
ssc_508020_0200#0,"""หลังจากนั้นไม่นาน ก็ได้รับชุดคำถาม<br>จำนวนมหาศาลในการตอบกลับที่ยาวเหยียดเลยล่ะ"""
ssc_508020_0210#0,"""นั่นคือการพบกันครั้งแรกระหว่างผมกับครอว์ฟอร์ด (Crawford) ครับ"""
ssc_508020_0220#0,"""ก็นะ ผมคงไม่ได้เจอเขาจริงๆ หรอก<br>เพราะทุกอย่างมันเป็นแค่ข้อความตัวอักษรน่ะ"""
ssc_508020_0230#0,"""แล้วไปเจอกันตัวเป็นๆ ตอนไหนล่ะ?"""
ssc_508020_0240#0,"""เดี๋ยวนะ ไม่เคยเห็นหน้าเขาเลยจริงๆ เหรอ?"""
ssc_508020_0250#0,"""พวกเราไม่เคยเจอกันครับ พูดตรงๆ เลยนะ ผมจำไม่ได้<br>ด้วยซ้ำว่าหน้าตาเขาเป็นยังไงน่ะ"""
ssc_508020_0260#0,"""คิดว่าครอว์ฟอร์ด (Crawford) ก็คงไม่รู้<br>เหมือนกันว่าผมหน้าตาเป็นยังไง"""
ssc_508020_0270#0,"""ก็นะ หมายถึงว่า แน่นอนว่าผมต้องเคย..."""
ssc_508020_0280#0,"""หืม ผมดูเหมือนจะ<br>จำไม่ได้ว่าหน้าตาเขาเป็นยังไงแฮะ..."""
ssc_508020_0290#0,"""อ้า แต่เราเคยส่ง<br>รูปถ่ายให้กันมาก่อนนะครับ"""
ssc_508020_0300#0,"""เหมือนรูปที่ผมเพิ่งส่งไปเมื่อไม่นานมานี้น่ะ"""
ssc_508020_0310#0,"""ได้ยินมาว่านั่นเป็นรูปที่ใช้<br>เพื่อช่วยตามหาผมใช่ไหมครับ"""
ssc_508020_0320#0,"""ตัวจริงดูแตกต่างไปเลยนะ"""
ssc_508020_0330#0,"""จำสลับกันตลอดเลยว่าคนไหนคือพี่น้อง คนไหนคือคุณน่ะ"""
ssc_508020_0340#0,"""เอ๊ะ? อย่างนั้นเหรอครับ?"""
ssc_508020_0350#0,"""อ้า จำสลับ<br>พวกพี่น้องของผมกับผมบ่อยๆ เหรอครับ?"""
ssc_508020_0360#0,"""พวกเรามีใบหน้าที่คล้ายกันมากเลยนะครับ..."""
ssc_508020_0370#0,"""ถ้าไม่ใช่เพราะเสื้อผ้าและสีผมล่ะก็<br>พวกเราคงแยกแยะกันยากแน่ๆ"""
ssc_508020_0380#0,"""อ้า เดาว่ามันคงทำให้<br>การค้นหายากขึ้นมากเลยสินะครับ"""
ssc_508020_0390#0,"""ก็พวกเรามีใบหน้าที่คล้ายกันมากนี่ครับ..."""
ssc_508020_0400#0,"""ถ้าไม่ใช่เพราะเสื้อผ้าและสีผมล่ะก็<br>พวกเราคงแยกแยะกันยากแน่ๆ"""
ssc_508020_0410#0,"""เอาล่ะ กลับมาเข้าเรื่องกันดีกว่า..."""
ssc_508020_0420#0,"""ถึงแม้จะไม่เห็นหน้ากัน แต่เนื้อหาในรายงานของเขาก็ทำให้<br>พอจะเดาออกได้คร่าวๆ ว่าเขารู้สึกยังไงน่ะครับ"""
ssc_508020_0430#0,"""อย่างเช่น ผมสัมผัสได้ถึงความหลงใหลในงานของเขา และ<br>ความทุ่มเทอย่างหนักเพื่อเป้าหมายบางอย่างน่ะ"""
ssc_508020_0440#0,"""พวกเราสามารถเข้าใจกันและกันได้โดยที่<br>ไม่ต้องเห็นหน้าหรือพูดคุยกันโดยตรงเลยล่ะครับ"""
ssc_508020_0450#0,"""แม้แต่ตอนนี้ ในระหว่างการสนทนาทางเทคนิค<br>ก็มีหลายครั้งที่เราแค่ส่งข้อความโต้ตอบกันไปมาเท่านั้น"""
ssc_508020_0460#0,"""ด้วยวิธีนั้น ผมและครอว์ฟอร์ด (Crawford) ก็สามารถสร้างความสัมพันธ์อันดี<br>ในฐานะเพื่อนและเพื่อนร่วมงานวิจัยต่อไปได้ครับ"""
ssc_508020_0470#0,"""ช่วงหลังมานี้ ผมได้มีโอกาสทำงานร่วมกับนักวิจัยคนอื่นๆ<br>แต่ก็ไม่มีใครทำงานได้รวดเร็วและแม่นยำเท่าครอว์ฟอร์ด (Crawford) เลย"""
ssc_508020_0480#0,"""ผมมักจะพบว่าตัวเองตระหนักได้อีกครั้งว่า<br>'ว้าว เขาเป็นคนที่ยอดเยี่ยมจริงๆ'..."""
ssc_508020_0490#0,"""อ้า แต่อย่าไปบอกเขานะครับว่าผมพูดแบบนี้<br>เดี๋ยวเขาจะได้ใจเอา"""
ssc_508020_0500#0,"""เอาเป็นว่า เรื่องของผมกับครอว์ฟอร์ด (Crawford)<br>ก็มีแค่นี้แหละครับ"""
ssc_508020_0510#0,"""คนส่วนใหญ่อาจจะคิดว่ามันเป็น<br>มิตรภาพที่แปลกประหลาด แต่ก็นะ"""
ssc_508020_0520#0,"""ผมก็แค่อยากจะเล่า<br>เรื่องนี้ให้ฟังนิดหน่อยน่ะครับ"""
ssc_508020_0530#0,"""ไว้เจอกันใหม่นะ"""
